Port,X,Y,ErrNum,Status,DateTime
0,7,28,1,"R,G,B Error",2016/11/29 10:19
0,8,21,1,"R,G,B Error",2016/11/29 10:19
0,9,21,1,"R,G,B Error",2016/11/29 10:19
0,13,21,1,"R,G,B Error",2016/11/29 10:19
0,14,21,1,"R,G,B Error",2016/11/29 10:19
0,15,21,1,"R,G,B Error",2016/11/29 10:19
0,15,30,1,"R,G,B Error",2016/11/29 10:19
0,14,30,1,"R,G,B Error",2016/11/29 10:19
0,13,30,1,"R,G,B Error",2016/11/29 10:19
0,12,30,1,"R,G,B Error",2016/11/29 10:19
0,8,39,1,"R,G,B Error",2016/11/29 10:19
0,9,39,1,"R,G,B Error",2016/11/29 10:19
0,10,39,1,"R,G,B Error",2016/11/29 10:19
0,9,38,1,"R,G,B Error",2016/11/29 10:19
0,8,38,1,"R,G,B Error",2016/11/29 10:19
0,8,38,1,"R,G,B Error",2016/11/29 10:19
0,11,47,1,"R,G,B Error",2016/11/29 10:19
0,12,47,1,"R,G,B Error",2016/11/29 10:19
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
